#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
11,"Sanam Re (From  Sanam Re )","Mithoon,Arijit Singh",112,6A,71,2024-06-29,05:08,63,"bollywood, hindi pop, desi, bangla pop","Love Forever With Arijit Singh",2017-06-07,58,40,0,76,0,10,-5,G Minor,4,3XWBGyt7m2rZAjEj0awWnw,INS181502139
12,"World's Smallest Violin","AJR",116,7B,70,2022-10-06,03:00,70,"","OK ORCHESTRA",2021-03-26,68,12,0,68,0,60,-7,F Major,4,68EkhVWIeULhHxcbi1QhzK,QMRSZ2003324
13,"Plevne","CVRTOON",86,1A,59,2024-05-01,03:19,51,"","Plevne",2020-02-06,41,3,72,6,0,10,-9,G#/A♭ Minor,3,66G35AgNTBnGzxdRDPgqyx,TCAEQ2060772
14,"Raataan Lambiyan (From  Shershaah )","Tanishk Bagchi,Jubin Nautiyal,Asees Kaur",81,6B,63,2024-01-09,03:50,71,"bollywood, hindi pop, desi, desi pop, gujarati garba, bhajan, devotional","Raataan Lambiyan (From  Shershaah )",2021-07-30,72,62,0,51,0,10,-6,A#/B♭ Major,4,2rOnSn2piaqLAlYjtfUBlY,INS172102667
15,"Malang Sajna","Sachet Tandon,Parampara Tandon,Kumaar,Sachet-Parampara",114,6B,74,2024-06-23,02:39,76,"bhajan, hindi pop, devotional, bollywood, desi pop, desi","Malang Sajna",2022-12-19,74,53,0,81,0,30,-4,A#/B♭ Major,4,73K33p4Vyz9koXGqmL5eFs,INS182203702
16,"Bekhayali (From  Kabir Singh )","Sachet Tandon,Sachet-Parampara",172,8A,59,2024-02-03,06:11,74,"bhajan, hindi pop, devotional, bollywood, desi pop","Bekhayali (From  Kabir Singh )",2019-05-24,31,45,0,35,0,30,-5,A Minor,3,1feANd8EfcDP5UqSvbheM3,INS181901739
17,"Tere Vaaste (From  Zara Hatke Zara Bachke )","Varun Jain,Sachin-Jigar,Shadab Faridi,Altamash Faridi,Amitabh Bhattacharya",110,6A,72,2024-06-24,03:09,62,"hindi pop, desi pop, bollywood, gujarati pop, desi, gujarati garba, sufi","Tere Vaaste (From  Zara Hatke Zara Bachke )",2023-05-22,76,32,0,96,0,0,-8,G Minor,4,46hzNOUOAlivuCZZ0wE3zi,INH102307782
18,"Bones","Imagine Dragons",114,4A,74,2024-07-02,02:45,77,"","Bones",2022-03-11,77,2,0,57,0,0,-4,F Minor,4,0HqZX76SFLDz2aW8aiqi7G,USUM72201759
19,"İzmir Marşı","CVRTOON",135,12B,61,2024-06-24,04:19,0,"","İzmir Marşı",2019-06-16,49,0,94,14,0,0,-9,E Major,4,5vYmIS8xffohMHVOoRr828,TCAGX2376433
20,"Jeena Jeena","Sachin-Jigar,Atif Aslam,Priya Saraiya",105,7B,34,2024-06-29,03:48,10,"gujarati pop, bollywood, hindi pop, desi, gujarati garba, sufi, qawwali","Badlapur (Original Motion Picture Soundtrack)",2014-12-09,68,79,0,55,0,10,-9,F Major,4,2GXXZFUxYg2LvG8SR0byOE,GBSGZ1500292
21,"Akhiyaan Gulaab (From  Teri Baaton Mein Aisa Uljha Jiya )","Mitraz",107,1A,59,2024-08-22,02:51,74,"indian indie, hindi indie, desi pop, desi, hindi pop","Akhiyaan Gulaab (From  Teri Baaton Mein Aisa Uljha Jiya )",2024-01-19,76,36,0,79,0,10,-8,G#/A♭ Minor,4,0M0ANKNzmM4Odd7FNKghzW,INS182400204
22,"Tum Hi Aana (From  Marjaavaan )","Payal Dev,Jubin Nautiyal,Kunaal Vermaa",90,9A,40,2024-07-24,04:09,72,"bhajan, devotional, bollywood, desi pop, hindi pop, desi","Tum Hi Aana (From  Marjaavaan )",2019-10-03,47,63,0,35,0,10,-7,E Minor,4,6E9UwSfT80age2xknoMS7Y,INS181905004
23,"Mann Mera","Gajendra Verma",192,12A,77,2024-06-13,03:20,12,"hindi pop","Table No. 21 (Original Motion Picture Soundtrack)",2012-12-21,54,5,0,37,0,0,-8,C♯/D♭ Minor,4,3yV2c3cYhkAwSsxAq6nRiv,GBSGZ1200069
24,"Jee Karda - Rock Version","Sachin-Jigar,Divya Kumar,Priya Saraiya",140,10A,83,2024-07-03,03:59,0,"gujarati pop, bollywood, hindi pop, desi, gujarati garba","Badlapur (Original Motion Picture Soundtrack)",2014-12-09,61,41,0,68,0,20,-7,B Minor,4,37Z0JtMr9BBTpD1TPClCY3,GBSGZ1500293
